LC-OA,LC-AZFc,LC-INOA_B,LC-KS,LC_INOA_S
DDR1,C12orf65,EFEMP1,EIF5,BEX2
C15orf48,MT-TL1,PPA1,EZR,PDGFRB
MTCO1P12,TPT1,NBN,EDNRA,S100A6
ASS1,EBP,RDH11,FAM71E1,CNBP
PFN1,DKKL1,HMGCL,HIST1H1E,TPM3
EMP3,SF3B4,ERI3,COX7A2L,NFIC
TSKU,JPX,HACD2,HSPA4L,LAMC3
RABGGTB,PRDX2,MMAB,KANK2,TCF4
CLK4,ALDH3A2,HSPA9,PIGP,ARHGAP20
LRPAP1,MRO,PRRC1,STN1,KTN1
FKBP5,ENO1,ZBTB1,CNN3,UGP2
PLEKHM2,YBX1,TMEM109,CD63,SCARB1
NCOR1,TMCO2,SCAMP3,TCIM,HSPD1
PLPP1,TRIM36,TMX2,ATP5F1E,ABLIM1
HNRNPA1,EMC6,ADI1,BEX3,PIFO
CHMP1B,TAF9,PPP1R2C,LTBP3,DUSP1
DIRAS3,HMGN5,JTB,CDK4,GPX3
GATA4,APRT,RPN1,PPP1R15A,CHURC1
HECTD2,MRAS,KRT19,SLC39A10,FOS
NPM1,CST9L,BTG2,DLK1,ACAP2
IGFBP6,PCCB,ITGB1,SC5D,ACP1
CCDC89,DAAM2,TWF2,S100A6,SEMA3D
PGM2,DNM3,TAX1BP3,COX20,SNAI2
HES1,NDUFA1,RASD1,RAB29,ELP1
STK24,PTTG1IP,SIGMAR1,VCAN,EEF1B2
PRKAR1A,CAPZB,G6PC3,C4orf48,MED25
CSNK2A2,SPTLC1,POLR2C,LAMC3,LHFPL6
VSTM4,KRT13,LLPH,CENPU,TCIM
ALDOC,CMBL,COPS6,ENG,MOSPD1
PTPRF,ATP5MG,ERGIC2,CCT2,UQCR10
PAN3,MCFD2,CCNDBP1,UGP2,TUBG1
ITGAV,LSM4,EIF3E,ZNF280C,RASD1
NDUFC1,REEP1,TMEM176A,ADGRA2,ZBTB20
DECR1,IFITM2,COPB2,DLD,GSTA1
TMEM176B,MRRF,MAPK1IP1L,MYADM,UBB
DLK1,FXYD6,UBL7,LAMB2,RIPK2
P4HB,SYNGR2,PLD3,SRP54,WASF1
ABI1,FAM229B,HSPB6,GALNT10,GSTA3
FBLIM1,LTBP4,RHOU,CCDC74A,PDCD4
TMEM14C,GRINA,SPARCL1,KPNA3,ATP6V1D
ROPN1B,KPNA2,APOBEC3C,CCNI,PARM1
WFS1,SPINK2,MTCH2,UQCC2,SLC8B1
LGALS1,EPPIN,LGALS1,TUBA3C,HSPA4L
BECN1,DPT,ZFP36,STUB1,DLD
ZNF322,RNF168,PPHLN1,NEGR1,COPZ2
FOSL2,ASAH1,HSPD1,SNORD3A,HLA-C
PPM1L,ACP1,TXNRD1,PTOV1,RGS22
PNMA1,AARD,ISCA2,OGN,ZNF280C
UGP2,SRSF7,DRG1,NACA,HSPE1
MYL6,SEC11C,UBE2L6,TCF21,PID1
RNF7,CACYBP,NIT2,AC007969.1,TRBC2
PPP3CA,PSMD14,RHOC,SAMD4A,SLC25A5
PMS2P1,QKI,TXN2,CTSF,SKAP2
MSN,MT-RNR1,DECR1,SLC25A5,HADHB
KHSRP,SUMO1,STEAP4,BRI3,ATP1B3
SRP9,ZDHHC3,DNM3,EXTL2,C1orf54
PSAP,UBE2L6,TXNDC12,HMGCS1,NUCKS1
BHMT2,NDUFA4,C1QBP,NCAM1,MALAT1
QKI,CHORDC1,SIAH2,ACTB,IGLC2
MFAP4,CD55,CD82,CIAPIN1,OMD
GREB1,PFDN5,LAMTOR1,ILK,KDELR1
SERF2,FOXO4,SCD5,LAYN,HS6ST2
GATD1,KIF2C,SRSF2,RNASE1,SOD1
NCKAP1,PLBD2,NDUFA10,KTN1,CD34
TXNIP,DCAF4L1,DARS,GADD45G,EID1
CNRIP1,MAEL,PHYH,SEC11C,FTH1
FOS,VCP,CTSD,PRELID1,C6
ZNF330,KDELR1,TIMM10B,SNX6,LGALS3BP
IDH1,MMAB,DPP7,UBAP2,SUCLG1
WSB2,TMEM38B,SLC35B1,ARRDC4,NFIX
PCMTD1,MLEC,BTF3L4,FOXO4,SVIP
RBM3,PLAC9,CREG1,NHP2,LAYN
DPEP1,TKT,FARSA,PDGFRB,NDRG2
ACAA2,SLC39A7,BET1,SUN2,PCYOX1
EEF1B2,IDH3G,MIR202HG,HYI,LUM
