EC-OA,EC-AZFc,EC-INOA_B,EC-KS,EC_INOA_S
,NSUN4,PLSCR1,RGS2,TSPAN6
,AL157756.1,OSBPL10,C2orf88,LY96
,TEX36-AS1,ESD,CALM1,FHAD1
,TBC1D21,TMEM147,GPIHBP1,ODF3L2
,ZDHHC3,CARHSP1,HIST1H2AA,FAM46C
,FAM71D,COX8C,RAB11FIP4,CTGF
,PRSS58,LINC01191,ODF2,TTC39A
,MIR7515HG,IFT57,ROPN1,C11orf65
,KLHDC3,CYC1,CCL2,ABCA17P
,BX119904.2,CLK4,ROPN1B,ACTRT3
,TEX48,SAMHD1,LINC01191,DOC2A
,LRRC8C-DT,TMEM204,CCDC169,UBB
,RNF38,TPST2,AC140479.4,C6orf201
,HSPA1A,TUBG1,EFCAB6,FKBP5
,MTFR1,C6orf99,PAGE2B,FAM220A
,PTTG1IP,TEX37,FAM43A,HLA-B
,NRIP3,THRAP3,RNF133,NME5
,NDUFA1,RNF138,IZUMO2,MAP1B
,MPC2,PRSS23,SPATA24,TUBA1A
,MORN5,RAE1,DYNLRB2,GNG11
,AC007681.1,DNAJA4,SSBP4,ARHGAP28
,ESS2,SPATA7,CENPU,CD34
,LRRD1,THSD7A,ANKMY1,FAM71D
,CCDC7,RHEB,RGS22,SPAG17
,AC135977.1,AP3M2,ACRBP,C9orf116
,C9orf153,NRDC,IL33,TSC22D3
,MT-ATP6,EEF1E1,CCT2,CSRNP1
,DOC2A,DDX20,TEX36-AS1,NFIA
,DAB1-AS1,SMKR1,SPRY1,KITLG
,TMCO2,RTRAF,FABP5,C2CD6
,RNF138,ELOVL1,IRGC,MT-TL1
,C3orf30,C7orf31,AL672043.1,OSBPL10
,ARL2BP,TMEM9B,MT-TS2,RAB3IP
,POLB,TALDO1,MARCKS,CCT2
,TBX18-AS1,PMS1,CLPB,NACA
,CCDC169,LINC00943,C17orf64,PPP1R32
,DCN,CCDC169,C3orf30,DNALI1
,IZUMO2,SPACA7,VPS51,LOXHD1
,NDUFA4,SCP2D1,LINC00226,MGP
,AC018558.1,JAGN1,VWA1,FBXO39
,NUDCD1,CSRNP1,TPM2,PODXL
,LY96,HP1BP3,HSPB6,EFCAB6
,AC103591.3,TUBB4B,TEKT3,JCAD
,S100A6,URM1,DNAJA4,HMOX2
,CFAP97D1,WBP2,LINC01667,DAZL
,FANCD2OS,PPP1R7,DRICH1,ZDHHC19
,C1orf100,DKKL1,CNTFR-AS1,AIF1L
,AL672043.1,ANKRD7,PCBP2,MPC2
,NUMA1,ASRGL1,BTG1,NRAV
,MEOX1,CD300LG,MYADM,PCAT6
,KIAA1257,LYPLA1,FANCD2OS,SWI5
,ZNF345,NUP98,COMT,ZNF704
,FHL5,SPATA18,SPACA9,PTMS
,NFKBIB,SSU72,COL6A1,MEF2C
,C5orf49,STMP1,PRMT1,LRRFIP1
,RPGRIP1,ARMC12,RERGL,HRASLS5
,HNRNPD,SPATA24,MYH11,ASRGL1
,ARPC5L,LINC00854,MIR7515HG,PMS1
,NARF,IQCF2,KLHL10,JUN
,HYPM,TMCO2,AC018558.1,MT-ATP8
,ERICH2,CYLC2,FTL,MT2A
,SLIT1-AS1,HEMGN,FXYD5,TEX15
,LUZP1,ACTR10,AC004797.1,NOSTRIN
,XAF1,CYB5R3,AC097375.3,IFIT3
,NQO1,ZDHHC3,CCL4L2,TTK
,CENPU,CCSER2,AQP5,GADD45B
,EIF1,TPP2,LINC01681,TPP2
,MKL2,MAEL,UBQLNL,PABPC3
,C6orf201,ISCA1,LINC01539,SH3BP4
,FAM110D,QARS,GALNTL5,ISG20L2
,PLEKHO1,SPINK2,C3orf22,IL1R1
