Immue-OA,Immue-AZFc,Immue-INOA_B,Immue-KS,Immue-INOA_S
,CCDC91,,SNHG15,CCDC182
,SSBP3,,COL9A2,ADAM6
,MOB1A,,RNF175,AC067969.1
,KMT2E-AS1,,ZYG11B,LINC01499
,LGR4,,CLEC7A,AC116631.1
,DHX57,,TMEM259,AL358975.1
,POLR2L,,LTBP3,AC007114.2
,GIMAP2,,ADAD1,KRT19P1
,CCDC144B,,CD6,CHRNB4
,NOLC1,,SPRY2,AC009019.1
,NAP1L3,,EDNRA,TRIM29
,SYK,,HNRNPA2B1,AC068633.1
,USP10,,IL17RA,AC011494.1
,SEC24C,,TPPP3,AP001205.1
,GLIPR2,,MAP3K12,LINC01082
,MCFD2,,HES4,LINC01095
,NUP155,,LDOC1,LINC01107
,ID4,,DNALI1,LINC01005
,TTYH1,,SEPT7P9,HPCA
,PTMAP4,,APOBEC3G,AL136967.1
,SLAIN1,,ZNF511,AC008691.1
,NT5E,,DDX3Y,GALNT6
,TANGO2,,ARFIP1,ANAPC11
,INVS,,ADAMTS1,TSKS
,GNA11,,PRR30,MORC1
,FAXDC2,,MZT2A,SGCA
,LRPAP1,,CRYBB1,MEIOC
,GNB1,,AC090498.1,AL450405.1
,AC004797.1,,HSH2D,MAFB
,PP2D1,,ETFRF1,KCNJ2
,TBL1X,,SLC40A1,ADAM15
,RAN,,ATP5F1E,OSTF1
,AC007598.2,,CCDC3,MAP3K6
,CD52,,AC016739.1,HNRNPR
,AL022322.2,,WSB2,ATP5F1B
,PLAC8L1,,SETD2,REST
,TTC23L,,PHLDA2,DUSP5
,AC127502.1,,RF00004-10,SRSF7
,MBD2,,OGFR,MYL9
,AC133485.2,,ZFR,CEP350
,MINOS1P2,,CEP112,BCL2
,LINC02492,,RSU1,CTSZ
,HSP90B2P,,C16orf58,ATF5
,APRT,,ARPP19,LINC01681
,EIF4A1P10,,NXT1,SFXN3
,LINC00929,,HCFC1R1,FLNA
,CFAP58,,SLC39A1,USP4
,HPGD,,TCIM,TRABD2A
,PILRA,,COL18A1,KCNMA1
,CUX1,,P2RX7,FOLR2
,NDUFA11,,PDXK,PSMG2
,MMP19,,PAPSS2,VASP
,AC084033.3,,COL4A3BP,CAPN2
,FAM107B,,CAMK2G,POSTN
,NXT2,,CHD3,SLCO4A1
,OSR2,,RABAC1,FANK1
,E2F3,,FAR1,HIST1H2BM
,PRRX1,,CSNK1G2,IZUMO1
,NSG1,,SNRPN,ADCY10
,SFXN3,,FBXO6,KIAA1257
,TRPC4AP,,KLF13,AC025594.2
,TEX101,,45723,ELOBP2
,NAALAD2,,ANKRD10,SPATA45
,JMJD8,,USP4,AL024508.1
,SMIM27,,RNVU1-15,FMNL3
,RELL1,,LBX2-AS1,H1FX
,RBM39,,ITGB2,FAM200B
,MLF2,,DARS2,HLA-DOA
,CYR61,,UQCR10,C7
,GRB14,,NUCKS1,SIRPB2
,TEF,,FAM91A1,TAF9
,TNFRSF25,,GALM,NRAS
,FGF20,,APOC1,EIF4G1
,CALB2,,ERAP1,AARD
,PTPN21,,TAF9,NPIPB2
,TMEM106B,,EIF4G1,ZFP36
,SPATA45,,EPB41L4A-AS1,INPP1
,CDHR2,,JTB,ACVRL1
,RNF126P1,,BZW1,IGKC
,LINC01667,,SLC35E1,IGSF6
,ARPC3P1,,PHF8,CCND3
,LINC01227,,CIAPIN1,PRND
,AC113423.2,,ARHGAP27,NUP155
,IQCF6,,CRTAM,TPP2
,AC026369.3,,C7orf31,CD84
,AC092155.1,,RGS16,PLEKHO2
,AL121957.1,,NR1D1,HIST1H3B
,C9orf50,,RAB11A,PSTPIP1
,LINC01784,,PRKACB,YWHAE
,NCOA4P3,,UBE2D3,GMFG
,AC120193.1,,XPO1,FAR2
,AL133264.2,,IARS,YWHAG
,TREH,,CFH,ABCA8
,AC007557.2,,MGEA5,CNDP2
,CARD6,,SMDT1,VMP1
,USP13,,CD27,MT1F
,LINC01989,,ENDOG,MLKL
,NPIPB1P,,AC093484.3,GALE
,GLT1D1,,SREBF1,TMBIM4
,CLEC1B,,MATK,BIN2
,NRBF2,,CNDP2,NARS
,GSN-AS1,,ARRB2,GPSM3
,AC037198.1,,DDX10,WDR36
,MET,,GPAA1,IGF1
,C10orf120,,FBXO38,ADAP2
,ENTPD1-AS1,,PIAS2,CPE
,SLC7A6OS,,TEX53,PSMC2
,ABCA8,,LDB1,TWF2
,HIST1H2BF,,FAM102A,ZNF618
,AC027702.1,,CSRP1,AP1B1
,LINC02366,,SUGT1,CCL8
,AL158801.5,,MLLT6,TMOD1
,AC115837.1,,LMAN1,TNFRSF1B
,GPR65,,IL18BP,AC109326.1
,PELI1,,ACTRT2,ODF2
,SMAD4,,DNAJC5B,CDCA7L
,BACE1,,TMEM175,TXN
,WIPF3,,ADCY3,FAM107B
,NIPA2,,PAGE2B,ABCF1
,FAM133A,,TKTL1,TIMP3
,ACAP2,,SIGLEC7,CR381670.1
,SH3GLB1,,RBKS,U2SURP
,PSMC1,,KXD1,RRP9
,DUSP6,,ZNF704,RNF32
,DDX5,,CH25H,SFT2D2
,GPRIN3,,ZNF708,AGTRAP
,EDF1,,TPD52L3,CD33
,SPATA18,,STPG1,ETHE1
,CSGALNACT2,,ACP2,ANTXR2
,PSMC4,,SRRM1,SETBP1
,OPN3,,MICAL1,EIF3A
,CHST9,,SNORD3B-1,PXK
,ST3GAL1,,CEP57,PIM2
,C12orf50,,BCL2,ZFP36L2
,SLC39A4,,CD37,PLK2
,FAM236A,,EXOC7,LARP1B
,PLXNA1,,PLIN3,LAT2
,CCDC37-AS1,,MCM5,PHF8
,AL034397.3,,RANBP2,SKIL
,SPECC1,,FER,ST3GAL6
,HDAC9,,TANC2,CARHSP1
,FMNL2,,THRAP3,PLXDC1
,C9orf153,,SPATA16,APC
,MYLK3,,LINC01820,KNL1
,LY6K,,TEX15,TSGA10
,ALG1,,GOLGA2,EVI2B
,NR0B1,,OSGEP,WWP1
,DPP6,,DUS1L,WWC3
,BCL2L14,,EIF3E,STK17A
,MAGEF1,,MRI1,LTC4S
,CCDC136,,MAN2A2,RNPEP
,MIR100HG,,AKAP14,NDUFA8
,FAM71B,,CREG1,COG2
,HEATR6,,CLCN4,NCL
,RNF114,,ODF2L,AKR1B1
,TTYH2,,PARK7,EVA1C
,DHRS1,,CRYBG1,ZNRD1ASP
,TXNDC8,,SEC22B,PTTG1
,UFC1,,CDC40,PSMD11
,FAM212A,,FUCA1,SCD
,TMEM39A,,JPT1,PBK
,LAMA2,,TMC8,PYGL
,LINC01255,,COL1A2,DNAJC3
,SUGT1,,AC092666.1,NEK2
,HNRNPU,,ZCCHC24,SLC25A5
,FAM102A,,ERLIN2,MUM1L1
,SAMD4A,,ARL8B,SNHG26
,BTN3A3,,CD163L1,IFNAR1
,AC241584.1,,UBA6,CBX6
,DARS2,,KMT2C,GTF3C6
,HPGDS,,ST13,SMARCA5
,CAPN5,,FMC1,ORMDL1
,ATP9A,,MRVI1-AS1,SNAPC3
,MIEN1,,CD46,NABP1
,C19orf47,,CFL1,ATP5MF
,VPS52,,ETFB,PPP1R2B
,LENG1,,TSEN34,EFCAB6
,LYZ,,DDI1,WDR78
,KHNYN,,CD180,PGM2
,NFKB2,,IZUMO4,PLAU
,C20orf141,,LHFPL6,CTNNAL1
,IFI44,,CCDC70,NSL1
,ITM2A,,ITK,GPX4
,GNL2,,AP002004.1,FAM111A
,ELK1,,AP002807.1,PPP1R14A
,EEF2K,,CITED4,TCEAL5
,FOXN3,,PTGDR,RNF13
,ORC5,,C2,PSTPIP2
,JKAMP,,ZNF638,CTNNA3
,ARMCX5-GPRASP2,,SYNCRIP,OS9
,ARRDC1,,EVI2A,WSB1
,JAM2,,SETBP1,AFG1L
,PSMD8,,WASHC5,LRRTM3
,ARL4A,,ULK3,MTCH2
,TMEM255B,,DYNLL1,TCEAL9
,C21orf91,,SRD5A3-AS1,TMEM106B
,C8orf88,,LINC02109,VPS26A
,SPOCK2,,AC034199.1,CAPN1
,PRMT5,,AATBC,MIR616
,KREMEN1,,PRSS12,TM9SF2
,CYP11A1,,RNF17,TRIP12
,SYCN,,AL355922.1,LILRB5
,FAM49B,,FGF14-AS1,JOSD2
,FGFR1,,C3orf67,FADS2
,CLIP1,,TXNDC8,ARGLU1
,MDM4,,AC074327.1,SERPINB6
,KDM3A,,AQP9,AL359265.3
,DNAJB6,,AC025040.1,PHC2
,CETN2,,MAGEA4,AC243960.3
,PHF8,,LINC00293,CENPU
,STRN4,,PDSS1P2,FPR3
,PRRC2C,,ZBBX,MYO7A
,KDELR1,,AC024896.1,CCSER2
,SRP14,,LINC01492,CMTM3
,SORL1,,C2orf16,CENPE
,SERINC1,,RAB3GAP1,ANGPTL1
,SERPINB6,,DOCK10,AC083799.1
,TMEM130,,UQCRH,BHLHE40
,RAD23A,,SCYL2,MAGT1
,ANTXR1,,CRYBG3,DEPTOR
,PSMA2,,CCDC86,ELK4
,MT-TI,,NME3,BBX
,CDO1,,PRKD3,LRIF1
,CCZ1B,,CTNND1,CLEC4D
,SOX4,,TMEM216,OPTN
,DGKA,,EIF4G3,UTRN
,ASB8,,CAT,HAMP
,MAGT1,,TRIB2,NOP53
,MTFR1,,CCSER2,SELENOK
,PARP10,,CABYR,AQP1
,ALDH1A3,,STX12,PMFBP1
,TAF9,,RAB8B,UGP2
,TAF6,,AKAP17A,HINT1
,EFL1,,CSF1,MTTP
,CAPN2,,SDF4,AC093901.1
,CTNNA1,,MINK1,SLC25A4
,GALNT2,,EIF2S1,CCDC181
,SLC35E1,,FAM198B,ARL9
,REEP6,,HOOK1,LYPD5
,SLC26A2,,GBF1,ZNF793-AS1
,CCDC28B,,MANEA,DCAF12
,KXD1,,MFAP3,AC139795.2
,HNRNPA2B1,,NUPR1,AC012618.3
,RASA2,,STX6,AL359182.2
,CAVIN1,,RTN4,RNF126P1
,MYO10,,GGCT,AATBC
,NRIP1,,UNC93B1,GLIPR1L1
,ATP5MC2,,RNF113A,AP002954.1
,NOP14,,PBRM1,HORMAD1
,B4GALT5,,TGFB1I1,TSPAN4
,SLC25A29,,ZFHX3,TRPV2
,AC027644.3,,COX8C,TAF2
,BAMBI,,MX2,SESN3
,SEC11A,,CLCN7,MAGED2
,TMEM9,,RASSF2,SUCLG1
,RAB13,,ARHGAP4,ATP5MC3
,LINC00301,,C1D,PAK1
,FAM53C,,TSC22D2,SNX11
,ZNF438,,SNHG1,CKAP4
,RNF26,,ZNF428,PLXND1
,MBNL3,,PHC2,CKB
,RUBCN,,COPZ1,SREBF2
,FUCA1,,CARD8-AS1,KIF18A
,GGNBP2,,RCN3,LAMP1
,PDIA4,,ZYX,MAGED1
,C12orf4,,MUS81,STX7
,LENG8,,CYHR1,AL138899.1
,ADPRH,,AEBP1,CAPRIN1
,PRR13,,ERBIN,RSU1
,NSMAF,,ZNF358,RNF141
,KLHL42,,TM6SF1,SEMA6D
,WASHC2C,,RNF111,RAB5C
,GANAB,,CHCHD2,RSPH1
,PPA2,,TEX10,ABCA17P
,ITGB1,,PRKACA,NXPE1
,SFRP4,,SORBS3,DPY19L2
,ANKMY1,,TNFRSF25,TNFAIP8L3
,PTGS2,,DTHD1,ITIH4
,MPDZ,,TRDC,AC138649.1
,ADNP,,FAHD2CP,AL020997.2
,SPCS3,,PTP4A3,FBXL5
,GNB5,,DTX3,MICALL2
,CRIM1,,ZNF821,COL25A1
,MOSMO,,SYTL1,LINC01837
,PPP1R10,,ITGA8,FAM186B
,SPATA9,,ADGRA2,AC011921.1
,C1orf43,,BBS7,LINC01539
,METTL26,,RNF187,PLIN2
,CDC37,,HOXB2,AC005842.1
,SMCO4,,ARMC12,UPF1
,HACD4,,C2orf88,LYPLA1
,TARS,,IRGC,CCDC110
,45910,,SPACA4,XRCC4
,METTL17,,C9orf153,PCM1
,FAM174B,,MAGEB2,LINC00944
,PEX10,,HOMER3,GPN3
,WFDC6,,ANKRD13D,EYS
,HCAR3,,RAD23A,TTYH3
,ESPN,,DBT,MARVELD1
,FEM1A,,PIGN,TMPO
,FKBP1B,,ALG12,GYG1
,TREM1,,TP53TG1,HK3
,ZNF445,,ECM2,DAB2
,C1orf131,,EIF5A2,ARL11
,MAP4,,TRAP1,EPPIN
,TSGA10,,VCPIP1,ELOVL1
,ELOVL5,,FAM209B,G0S2
,CNN3,,ICE2,DENND4C
,TCTA,,RIF1,M6PR
,GATA4,,PRPSAP1,HIGD2A
,PDS5A,,SWT1,IFI27L1
,CYP1B1,,TOR3A,ST6GALNAC3
,C11orf65,,PAICS,PTN
,OGFR,,TMEM47,LY6E
,TDP1,,NABP1,TMEM50A
,COL15A1,,NES,PCNX2
,SMIM26,,BIRC6,PENK
,DAPP1,,CCT4,CCDC162P
,DAG1,,SAT2,FADS1
,AL136988.2,,DAP3,EIF5B
,TCF12,,IL1B,PRRG4
,STK38L,,XRCC1,HLA-E
,PMEPA1,,PDS5A,SLFN11
,AP001636.1,,DARS,BEX2
,MAGEH1,,MAML3,CFH
,RARRES2,,OPN3,DEFB123
,RING1,,C3,ATP5MG
,DBIL5P,,HEBP1,HLA-F
,ICAM2,,ARL4D,TMED5
,AL450998.2,,SLIRP,WDR11
,DOCK8,,ECE1,TXNDC17
,SDHC,,EMC7,PARM1
,FBXO38,,RFX5,CHPF
,WWP1,,IRF2BP2,ZDHHC19
,AC060766.1,,BCL7B,HIST1H4F
,TESK1,,ALPK1,MCUB
,GJA1,,SLC36A1,SLC39A4
,UQCC3,,RPAIN,ITGB5
,YEATS2,,ENAH,BCAP31
,SVIP,,AC079305.1,GNG5
,AC069224.1,,IRF3,FAM126A
,SLC20A1,,REPIN1,GGNBP2
,HSF1,,SMIM26,B3GNT5
,ZNF562,,TUBB,TRIB2
,PABPC1P3,,SELENOW,MOB1A
,UBA1,,CLIP1,AP1S1
,TUG1,,STX11,ATP6V1A
,CHGA,,FBXL15,HIST1H1C
,DHX37,,FABP5,FOXN3
,CAMK1,,PYGL,LAMP2
,ANOS1,,PDLIM1,PLA2G15
,MAML3,,RNF139,FCRL5
,SETD3,,FAM210A,MYL6B
,PJA1,,VAV3,DYRK3
,NGLY1,,SLC46A1,45717
,SLC23A2,,C7orf49,ADGRG1
,AASDH,,ABHD2,FLT3
,CD300LF,,USF2,TPRG1-AS1
,TET2,,CLTB,ACP2
,NR1H3,,FAAP20,PPM1M
,TK2,,AL662844.4,CSGALNACT2
,STEAP4,,SMAD7,LPCAT2
,RCBTB2,,PARM1,COMTD1
,SLC25A45,,CXCR3,ZC3H14
,NCBP1,,INHBA,RGS5
,JAM3,,GRAP2,MAPK7
,G0S2,,KCTD13,DNAJB6
,GAPVD1,,PI16,MTPN
,CHMP6,,PODN,CARMIL1
,PHF24,,GPR174,COPZ1
,DHCR7,,LIPE-AS1,ADA
,ADAMDEC1,,RAB37,GMPR
,KIF5C,,MTND1P23,MGP
,ATG12,,AL136987.1,PPIA
,HIST1H4F,,KPNA3,DNM1
,GPD2,,CELF2,C21orf91
,ADRB2,,COASY,PLEK
,PDCD4,,UHRF1BP1L,SVIP
,LTBR,,SNAP29,DDX5
,CRISPLD2,,DUSP3,SLC43A3
,SRGAP3,,MFSD12,DNAJC15
,PPID,,ZFYVE16,PBRM1
,PNMA1,,SH3BP5,NECAB1
,IDH3G,,ANKRD50,GKAP1
,BLM,,PDCD4,STX8
,ZNF346,,STAMBP,EIF4G3
,REEP3,,SLC25A4,MSMO1
,HNRNPF,,RNVU1-6,SULT1A1
,CHD4,,CD3EAP,PRPF4
,LMO2,,MEA1,UBC
,TLN1,,SOX4,HCK
,AC100849.1,,PKN1,TLR8
,GSE1,,TSEN54,USP9X
,TLR6,,NOC3L,GSTP1
,ERLIN2,,C7orf50,TSHZ2
,NSMCE2,,PLA1A,FURIN
,SPN,,HDDC3,SUPT16H
,PHACTR1,,PROK1,LATS2
,COL6A3,,HIST1H4I,FCGR1A
,ZCCHC3,,HIST1H3B,TNFSF18
,SETD1A,,TMSB4XP8,STRAP
,ZCCHC2,,GUCY1A1,ZEB2
,NET1,,BECN1,EGR3
,ANKRD11,,SLC9A3R1,SNAP29
,RPN1,,WDR73,CAB39
,SYNJ1,,PDGFRB,ILF2
,IFITM2,,ATP1A2,IL12RB2
,TM4SF1,,DIAPH1,ARHGAP28
,MYEF2,,LPP,CCL5
,NOSTRIN,,BRF2,SLC25A24
,CD84,,NDUFV1,FSIP2
,HIST1H4J,,EFL1,PEPD
,DCBLD2,,CHCHD6,NAPSB
,KLF3,,KIAA1143,KLHL8
,DPY19L4,,COX7A2L,SH3BGRL
,FAM219B,,FUOM,NR1H3
,CCDC68,,EFR3A,TMEM14B
,ATP6V0B,,DDAH2,ABLIM1
,SLC52A3,,HIPK1,SNHG3
,IQCK,,DYNC1LI2,LGMN
,TFEC,,NUBP1,SCRG1
,SUN1,,MDM2,STAC3
,PKD2,,RORA,GAPT
,SLC12A6,,AP1B1,ZNF468
,GADD45G,,HSPE1,SERPINF1
,DUSP11,,FLII,SRGAP3
,ZNF618,,SCOC,C3orf67
,KIF21A,,ATP6V0B,CYSTM1
,CEP83,,LMO2,PPP1R7
,FAM214A,,GSTP1,PRNP
,TEX38,,ZEB1,ACE2
,ADAM15,,ABCA6,CDK2AP1
,SUCNR1,,ZFAND5,HLA-DQA2
,PHPT1,,C6orf201,UBE2D3
,COL3A1,,ELAVL2,NSUN6
,,,AL049840.1,STOM
,,,SEC62,SDF2L1
,,,AP5S1,CTSV
,,,FOSL2,AL031283.1
,,,KLC1,LDLR
,,,IZUMO2,AC092155.1
,,,TBC1D23,HIST1H4C
,,,LINC02219,NR4A3
,,,AL596275.2,ZBTB12
,,,AAR2,AL450992.1
,,,TRAF5,FAM168B
,,,APPL2,AL133467.1
,,,CCDC179,RC3H1
,,,TK2,MYCBPAP
,,,EDA,CABP4
,,,YEATS2,NDUFB6
,,,MTCH1,NNMT
,,,ASB1,NBR1
,,,MAEL,MINOS1
,,,DOCK4,FAM71D
,,,PITHD1,ANKRD62
,,,AFTPH,TMC5
,,,SLC24A4,BMF
,,,MACF1,AK5
,,,ZBTB20-AS1,TIMM10
,,,LAGE3,SUCLA2
,,,ZDHHC3,SEL1L2
,,,ATIC,CERS6
,,,TNFAIP1,POMP
,,,HIF1A-AS2,HMGN3
,,,C4orf46,EPRS
,,,RNF144B,YEATS2
,,,ADM,TBXAS1
,,,DIAPH2,STARD8
,,,CASP8AP2,TNFSF13B
,,,SRBD1,CD58
,,,CA11,RHOG
,,,UBALD2,BLNK
,,,DDX1,GPR84
,,,TRAPPC8,SNRPD2
,,,ECPAS,ISYNA1
,,,TRAF1,TNF
,,,ACVR2A,DUSP2
,,,TBCA,OAZ1
,,,CAPN2,CCDC47
,,,TAOK3,IFI27
,,,BCL11B,R3HDM2
,,,MIR3188,DLK1
,,,WDR83,ADAM28
,,,ADCY9,THOC2
,,,AL133523.1,AC087273.2
,,,AL138963.3,ZNF704
,,,SIK1B,SERBP1
,,,FBXW11,ZBTB20
,,,MINPP1,CFL2
,,,AVPI1,MT-TT
,,,ZDHHC4,ARL5B
,,,AP1G2,UBE2H
,,,USP19,CD44
,,,RNF40,NME1
,,,PXDC1,SCAMP2
,,,RNU5D-1,LY96
,,,DENND5A,AL031599.1
,,,ATP8B4,CANX
,,,NSMCE3,MARCO
,,,AP3M1,TTK
,,,FAM120AOS,IPO7
,,,C1QBP,AC004687.1
,,,RASGEF1B,RNH1
,,,DOPEY2,HRH2
,,,BCL3,GLMP
,,,SFRP1,FAM53B
,,,GLUD1,ZDHHC20
,,,SEC23IP,IFRD1
,,,UBR2,MTND6P4
,,,ARPC1B,CAV1
,,,DBI,TMEM65
,,,STK38,LSM4
,,,EXOC4,AL021453.1
,,,RBM6,BAG5
,,,TBX2-AS1,TMEM106A
,,,ESRRA,ZMYM4
,,,RNGTT,MEF2A
,,,ST6GAL1,TAF7L
,,,METTL17,DMXL2
,,,NIPA2,SETD3
,,,LINC01094,COX5B
,,,PRDX3,RCAN1
,,,SEC61B,PPP2R5B
,,,TNFSF12,SRPK2
,,,SPANXN5,CREB1
,,,C4orf45,USP6
,,,DMRTC2,HIST1H1A
,,,IQCF2,CORO1A
,,,AC093484.4,PTP4A2
,,,AC015969.1,AEN
,,,LINC02207,GNPTG
,,,HYDIN,KIAA1109
,,,TTC39A,HIST1H1D
,,,L1TD1,AC022706.1
,,,AC016831.5,ABHD6
,,,ADAMDEC1,ANKRD40
,,,MACROD2-AS1,ZNF791
,,,PIGCP1,GPBAR1
,,,UBQLNL,PPP4R1L
,,,MEFV,TKT
,,,TEX43,GREB1
,,,AL136988.2,CCDC144B
,,,AC123912.2,IFIT2
,,,LINC02024,UPF2
,,,SPATA3-AS1,PTPRJ
,,,AL513327.2,FAM236A
,,,FAM71C,DPYD
,,,KIAA1211,AGFG1
,,,LINC01277,LILRB4
,,,MIR7515HG,CBX3
,,,AC108866.1,TDP1
,,,DAPK1-IT1,ZNF652
,,,ITGAM,COPE
,,,UHMK1,NUCKS1
,,,FKTN,GNG11
,,,REEP3,TEX30
,,,NR1H3,ENAH
,,,AL442128.2,RAB11FIP4
,,,FAM168B,CACYBP
,,,MBD6,SDC1
,,,TSPAN33,NDRG4
,,,ARHGEF12,AAR2
,,,VTA1,HK2
,,,GTSF1,45914
,,,PLEKHB2,FAM96B
,,,FAM53C,PHKB
,,,GALNT10,APLP1
,,,RBX1,ZMIZ1-AS1
,,,ERI2,AP000487.1
,,,TGFBR1,PSMC1P1
,,,SPTSSA,EXTL3-AS1
,,,MED30,ADAM32
,,,AC087239.1,WDR93
,,,CLIC2,RASGRF1
,,,ADRB2,LINC02035
,,,HMG20B,ACSM3
,,,FAM204A,BTBD18
,,,FYTTD1,AKR1D1
,,,AGTPBP1,ATP7B
,,,PDCD6IP,TRDN
,,,EFCAB13,ST7-AS2
,,,C15orf61,ATP5PDP4
,,,ANKRD11,POLR2L
,,,ME2,PACSIN2
,,,NR2C2AP,EFHB
,,,NAPA,SOX4
,,,OGT,CLEC9A
,,,CAB39,CSRNP1
,,,LYSMD2,LINC00624
,,,CMTR1,CFAP77
,,,MYC,PPP4R1-AS1
,,,LDLR,TGM2
,,,CD151,GPC5-IT1
,,,FNIP2,SULT6B1
,,,COX4I1,AP003465.1
,,,SPRY1,C8orf37-AS1
,,,TMC6,ITGB1P1
,,,PLEKHA3,AGBL2
,,,IFI27L2,ANKRD30B
,,,SPART,LLCFC1
,,,GNB5,KCNH3
,,,PAFAH1B2,AL445490.1
,,,DNTTIP2,LTA4H
,,,APOL3,FAM9B
,,,AGPAT1,NPAP1
,,,FMO4,RF00019-687
,,,HDAC9,HECW1
,,,TAF2,USP50
,,,TNFSF15,DNAI1
,,,RDH11,SLC1A1
,,,KDM6B,CABCOCO1
,,,AC243960.1,AC130466.1
,,,AC243829.4,AC012370.2
,,,ENHO,CAPSL
,,,RNU1-2,AC237221.1
,,,MRGPRF,AL513548.3
,,,PAWR,PCOLCE2
,,,ZNF513,RHOXF2
,,,NSUN5P2,LINC00880
,,,ATP2A3,SPTSSB
,,,TRGC1,EPHA6
,,,ICOS,AL138787.1
,,,SNED1,AL157786.1
,,,LAX1,CYP2J2
,,,LINC00861,RIIAD1
,,,C5orf51,ALLC
,,,ETV5,FCN3
,,,TAOK1,AL161909.2
,,,SELENBP1,CHD5
,,,EDEM2,DLG1-AS1
,,,PAPSS1,LIPE
,,,ARID5A,C1orf105
,,,SLAMF6,DRC7
,,,WDR81,JPT1
,,,DEUP1,EWSAT1
,,,C2CD6,SNRPGP14
,,,AC008114.1,HIST1H3F
,,,CYLC1,FST
,,,RIMS1,TSGA13
,,,OTUB2,AL603832.2
,,,LRRTM3,AC068631.1
,,,USP10,PAPOLB
,,,DUSP10,FAM19A3
,,,NFIB,GCNT7
,,,HYPM,MAP7D2
,,,SYCE3,AADACP1
,,,TAF12,MITF
,,,COL6A3,ITGAM
,,,HECTD1,IFI44
,,,PKD1,STON2
,,,AL157756.1,MCTP1
,,,CUL3,LARP4
,,,USP31,MAP9
,,,ALDH1L2,ZNF331
,,,MAP3K7CL,RAB30
,,,ZNF407,RAB12
,,,SUMO1,RASD1
,,,GAR1,CNRIP1
,,,NXF1,TTC23L
,,,STK31,FBXL13
,,,DHPS,HNRNPA1
,,,GLI4,C17orf97
,,,AL359541.1,GABARAPL2
,,,FTH1P10,TULP2
,,,TCEAL9,NUDT11
,,,PTP4A2,LINC01268
,,,TAF6,TUBB2A
,,,LIMA1,TEKT3
,,,DKKL1,METTL26
,,,LRP1,RHEBL1
,,,TPM4,KSR1
,,,CD160,LINC01678
,,,SIPA1L1,UBE2A
,,,FOXO3,LRRN3
,,,RAMP1,TMSB10
,,,ARHGEF1,SH3BP5
,,,AC110995.1,AGPAT2
,,,BRMS1,SYNPO2
,,,FAM98C,C6orf48
,,,SLC9A9,SNX9
,,,LIAS,LGALS9
,,,CENPU,IL18
,,,ERRFI1,DUSP1
,,,HADHB,PLOD3
,,,GNL2,PPID
,,,LRRC14,LAMA2
,,,FAM200B,FBP1
,,,PBX2,IGLV3-21
,,,LINC02314,WDR7
,,,NUMB,CLPB
,,,LGALS9,CXCL8
,,,TMEM192,E2F3
,,,A2M,NAA20
,,,BTN3A2,RBP1
,,,CMTM3,RDH11
,,,NLRP1,SVIL
,,,BIN3,RUBCN
,,,PDK2,CD86
,,,PITPNC1,KIAA1147
,,,KLHL24,CXCL2
,,,DHX8,NRBP1
,,,UHRF2,CMTM7
,,,SPATS2L,SLC7A8
,,,PPP1R35,CCDC34
,,,TLR1,TNFRSF1A
,,,IDE,TNPO3
,,,ZNF518A,PLBD1
,,,BAG5,TTC39A
,,,PCED1B-AS1,PARP1
,,,RLF,IL17RA
,,,TRABD,IFI44L
,,,IQGAP2,GSR
,,,CRTC2,NADK
,,,SRPRB,CIAPIN1
,,,TSC22D1,SNORD3B-2
,,,CENPE,TAF12
,,,SELENOH,LINC01138
,,,SNX1,ERCC2
,,,COMMD9,CLCN4
,,,PHAX,AC115837.1
,,,SYNGR1,HLA-DOB
,,,HGS,XPA
,,,ACO1,NR2F2
,,,PRKD2,CD48
,,,IDI1,B4GALT1-AS1
,,,FLYWCH2,FABP5P7
,,,SYNJ1,C6orf52
,,,AL356234.1,MAP3K9
,,,PEX19,PRKAR2A-AS1
,,,SEC31A,BAIAP2L1
,,,USP12,SH3PXD2B
,,,RGS10,FMO4
,,,SNRPA,RAMP3
,,,ZNF844,AC026369.3
,,,PKIG,TTC27
,,,SDCCAG3,HIST1H2BN
,,,THUMPD3,HCG20
,,,SIRT6,NQO2
,,,PDE7A,CCDC69
,,,RPP40,DNAJA4
,,,DYNC1LI1,ASAP2
,,,ZNF710,STT3B
,,,RRN3P1,HNRNPK
,,,EID2,COL4A3BP
,,,IDUA,KCNQ3
,,,AC106028.4,SCARB2
,,,AC004832.6,LRP1
,,,FAM43A,NDUFA2
,,,DEAF1,TIMM23
,,,ANKRD36BP1,SHMT1
,,,ZDHHC1,MYO1D
,,,CLIC3,FCGRT
,,,P2RY10,ESF1
,,,RF00003-8,APMAP
,,,TEF,FGF20
,,,CTU1,PPP1R12A
,,,SLFN12L,HLTF
,,,SCRIB,Z93241.1
,,,EIF1B,HCAR2
,,,NRP2,NUCB2
,,,C5orf52,GALNT7
,,,RCAN1,ASAH1
,,,PLTP,FUCA1
,,,MED1,SLC1A5
,,,PXK,SNRPN
,,,ZMYND15,APH1B
,,,PLS3,SGTB
,,,TMEM51,TMX4
,,,PEX7,STAU1
,,,ATG10,CITED2
,,,PDLIM7,ACIN1
,,,P2RY11,KDM3A
,,,OBSL1,PLEKHF2
,,,ARHGAP5,TXNRD1
,,,ZC3H14,CSE1L
,,,MBD3,ANAPC16
,,,SLC7A6OS,NRIP1
,,,SERPINB6,HMMR
