Immue-OA,Immue-AZFc,Immue-INOA_B,Immue-KS,Immue-INOA_S
AC025822.1,BLVRB,CMTM3,MYH11,LINC02314
AC044839.2,ACTG1,RAC1,LRRK2,LINC01820
ZNF222,AKAP4,MYDGF,CHMP1B,CCDC27
AC008040.1,PPT1,PPP2R1A,SNORD3A,PPP3R2
AL121928.1,ATP6V1F,ATP6V1B2,TUBA1C,ACRV1
AP003717.1,NDUFS7,ANXA5,SNHG9,NCF2
PPP1R3G,GSTK1,IL18,TPP1,MSN
EDNRB-AS1,GTSF1L,NCF4,USP9X,ATP6V1F
JPX,LINC02397,SIRPB1,TPT1,ARMC12
ARHGAP11B-2,EMP3,SLFN12,SRP72,SPACA9
AL022238.2,SNX10,GALM,FCHO2,TSPO
INA,ACSBG2,OAZ3,PTTG1IP,CAPZB
AC009509.1,H1FX,KDELR2,TPM3,CMTM2
AC009305.1,C1QC,STAB1,ARMT1,CLEC4E
MIR103A2,RAC1,FOLR2,LINC00467,LAPTM5
CCL3,AC243960.3,GNAI2,COX20,PROCA1
OLFML3,SLC39A8,PIK3AP1,CALCOCO2,DIRC3
SPA17,FLT3,SCP2,TUBA1A,XRCC5
MT-TE,CKLF,TMEM59,FAH,ITGB2
SPINK2,PAK1,HCK,LBH,LINC01191
GPX1,JUN,IL13RA1,GSG1,MFSD1
EEF2K,LGMN,ZYX,PRDX2,TRIM36
GLIPR1,CLEC10A,CNBP,RIN2,RHOA
FAM53B,ATP6V0E1,FIBP,HEXIM1,CCT2
KIF4A,TEX26,DEPTOR,PMAIP1,ACTG1
C10orf25,CD53,TWF2,ARHGDIB,MRVI1-AS1
ALYREF,LINC00467,COX7C,NDUFS7,PLCZ1
SMN2,USP4,TSPO,SH3BGRL,SPEM2
CCDC86,ACSL1,TOMM20,PLXDC2,FUNDC2P2
CD3EAP,PAIP2,H2AFY,IFNAR1,SPPL2C
LMO7,TEX37,REEP5,TMEM236,AL596275.2
LARGE1,GSG1,COPB1,TNF,COX7B2
CCDC144B,LY86,ANP32A,MCL1,ELAVL2
ZNF316,FCGR1CP,LMAN2,APOE,PDHA2
CD209,FKBP15,BLVRA,SLA,MCHR2-AS1
ARHGDIA,CYTIP,TXN2,BCAT1,PRSS37
HSPA14-2,VPS35,SDHD,SNHG25,CCDC179
EGR3,CPM,PRR13,SPSB3,AC097375.2
FXYD6,RNF175,PSMB8,XCL1,C10orf53
HLA-DRB5,SH2D4A,CMTM7,ATP6V1B2,TMOD3
LSM1,SH3BP5,ACTR3,LAMP2,CAPG
PARL,SGMS2,IPO5,LAPTM5,C3AR1
MAN1C1,MYL9,CST3,ANPEP,EHD4
DIAPH3,RASSF4,LAPTM4A,LPL,SGK1
BBIP1,CALM1,HIST1H4C,LPCAT2,OLFML2B
CKS2,FCGBP,VDAC1,STK17A,CALCOCO2
DBF4,BACH1,TXNDC12,GLDN,CALM1
EDEM1,LGALS3,SLC39A1,CCDC88A,TPP1
TFRC,DOCK10,CTNNA1,SRSF2,SESN1
MAMDC2,HIST1H2BN,PA2G4,IGFBP5,SPATA6
SELENOP,EGR2,ADRB2,SUN2,METTL7A
LIX1L,SPARCL1,CCT2,CAST,P2RY13
SLC38A9,IRAK3,TYROBP,NUDT3,RGL1
BMP2K,C12orf54,FAM96A,CAPZA1,SPATA18
RGS1,LILRB5,AP2M1,CEBPD,C17orf64
IFI27,KCNJ2,TMSB4X,LTBP4,FAM229A
RGS3,ADAM10,NDUFA10,CD3D,SGMS2
SLC43A2,SPATA6,STOM,CAPZB,ITM2C
TCTN1,AREG,CD63,SORT1,EGR1
PCLAF,NUPR1,HSD17B4,GNPDA1,MT-ATP6
CRELD1,CSF1R,CNDP2,TPM2,PSMA7
GNA11,NPM1,GPR34,SRSF5,EMILIN2
NR4A3,METTL7A,PEBP1,HIST1H1C,CLTC
