Myoid-OA,Myoid-AZFc,Myoid-INOA_B,Myoid-KS,Myoid-INOA_S
,,,SCRN2,
,,,CAB39L,
,,,IFIT5,
,,,CCNDBP1,
,,,BTG1,
,,,ORC3,
,,,TBK1,
,,,BLOC1S1,
,,,INSIG1,
,,,ATXN2L,
,,,DPH3,
,,,ETV1,
,,,PHPT1,
,,,CTSO,
,,,MAP1LC3B,
,,,UBE2D2,
,,,SLK,
,,,TRAPPC1,
,,,EIF1AX,
,,,UBXN7,
,,,KMT2C,
,,,HSPD1,
,,,CXCL12,
,,,SMARCAD1,
,,,MAL,
,,,XRN1,
,,,IMP3,
,,,HERPUD2,
,,,ATF6,
,,,SH3D19,
,,,NEDD9,
,,,NDUFS6,
,,,SUPT16H,
,,,SUCO,
,,,PLAGL1,
,,,CORO1C,
,,,ORMDL1,
,,,PMP22,
,,,C5orf42,
,,,STIP1,
,,,PITPNA,
,,,CTBP2,
,,,SF3B3,
,,,KIAA0232,
,,,HUWE1,
,,,UBE2B,
,,,COPG1,
,,,TATDN1,
,,,SORBS1,
,,,RDX,
,,,TMEM45A,
,,,CLIP1,
,,,SCCPDH,
,,,VPS35,
,,,TALDO1,
,,,CREB3L2,
,,,BEX4,
,,,CALU,
,,,SUCLA2,
,,,ECPAS,
,,,MT-CO3,
,,,NOL8,
,,,PDCD2,
,,,SF3B1,
,,,C1orf21,
,,,ZBTB16,
,,,C12orf65,
,,,ZBTB41,
,,,WASL,
,,,PTCD3,
,,,PER3,
,,,SPAG9,
,,,COX17,
,,,METTL7A,
,,,SLC25A39,
,,,GTF2E2,
,,,TET1,
,,,PHLDA1,
,,,DNAJC9,
,,,WDR26,
,,,PIAS1,
,,,JAK1,
,,,SPATS2,
,,,CWC25,
,,,PPP1CC,
,,,CKS2,
,,,PGLS,
,,,COX7A2L,
,,,VKORC1,
,,,DHX30,
,,,EDNRA,
,,,UQCRH,
,,,MAGED1,
,,,FAM207A,
,,,BUB3,
,,,KIAA1551,
,,,RRBP1,
,,,CDH11,
,,,TNPO1,
,,,MGMT,
,,,EPS15,
,,,GOLGA2,
,,,FAM173A,
,,,USP22,
,,,LRRFIP2,
,,,ZNF462,
,,,HSPE1,
,,,SNAPC3,
,,,SELENOS,
,,,NAE1,
,,,NAA50,
,,,LGALSL,
,,,LZIC,
,,,AHCTF1,
,,,GRIP2,
,,,NSD1,
,,,AIP,
,,,COL4A3BP,
,,,RRP1B,
,,,HYOU1,
,,,PRKAR2A,
,,,RCOR3,
,,,SBDS,
,,,MAPRE1,
,,,ERI3,
,,,CMC2,
,,,NPAT,
,,,CHAMP1,
,,,SLIRP,
,,,GORASP2,
,,,PFDN6,
,,,ICE2,
,,,TNRC6B,
,,,DDX21,
,,,CAMTA1,
,,,LAMTOR5,
,,,TSHZ1,
,,,45907,
,,,ITSN1,
,,,UBE4A,
,,,NISCH,
,,,SUPT5H,
,,,ACADM,
,,,RBM18,
,,,NT5DC1,
,,,ALAS1,
,,,RSBN1L,
,,,GOLGB1,
,,,NDUFAF8,
,,,TMX4,
,,,CAMLG,
,,,POLE4,
,,,TMEM263,
,,,LNPK,
,,,CTTN,
,,,FRYL,
,,,ZNF507,
,,,THYN1,
,,,ABCE1,
,,,PSMG1,
,,,DDX18,
,,,ZDHHC4,
,,,SERPING1,
,,,COA5,
,,,MRAS,
,,,OBSL1,
,,,CMIP,
,,,ICA1L,
,,,RARS2,
,,,SNRPE,
,,,RANBP6,
,,,ZBTB44,
,,,PXK,
,,,SOCS4,
,,,ZMAT3,
,,,DCTN3,
,,,IARS,
,,,TRUB1,
,,,C9orf16,
,,,BIRC6,
,,,HNRNPC,
,,,SEC22B,
,,,SCAMP2,
,,,IFT81,
,,,SH3PXD2B,
,,,CSNK1A1,
,,,MZT2A,
,,,SCP2,
,,,SPTAN1,
,,,GMPS,
,,,KIAA0100,
,,,SPDL1,
,,,SMIM37,
,,,SF3B2,
,,,ECE1,
,,,DBI,
,,,TRNT1,
,,,NOC3L,
,,,RORA,
,,,UBE2D3,
,,,SMS,
,,,SH3GLB1,
,,,TRIP11,
,,,MCRIP1,
,,,FARSB,
,,,DYNC1I2,
,,,PPP1CB,
,,,LYST,
,,,SEC11A,
,,,HSP90B1,
,,,DDAH1,
,,,DPP8,
,,,SSR2,
,,,METTL14,
,,,PIBF1,
,,,GSTO1,
,,,DMAC1,
,,,TMEM98,
,,,DHX9,
,,,ZC3H15,
,,,PRDM2,
,,,HMGCR,
,,,NFIA,
,,,TXNL1,
,,,FOXJ3,
,,,HSBP1,
,,,SIGIRR,
,,,OPA1,
,,,EMC2,
,,,KIF3A,
,,,PRPF4B,
,,,NOL7,
,,,GSR,
,,,EIF4G1,
,,,TCEAL3,
,,,MTMR6,
,,,UBE2W,
,,,NIPBL,
,,,ARL4D,
,,,ATF2,
,,,NUDT21,
,,,PRPF8,
,,,LMAN1,
,,,PALLD,
,,,ALDH9A1,
,,,FKBP14,
,,,SAR1A,
,,,TUBGCP2,
,,,USP14,
,,,TOB2,
,,,MIER1,
,,,ATRAID,
,,,HDDC2,
,,,ZMYND8,
,,,COPS2,
,,,FAM213A,
,,,FAM104B,
,,,ERLIN1,
,,,TAF1B,
,,,HMGN2,
,,,TMEM120A,
,,,TXNDC12,
,,,DZIP3,
,,,ATP10D,
,,,GOLGA4,
,,,TMEM258,
,,,PRPF40A,
,,,FAM216A,
,,,CYBRD1,
,,,SNX13,
,,,COQ10B,
,,,EIF4H,
,,,ST3GAL1,
,,,GSTM3,
,,,PPP1R10,
,,,UBE2V2,
,,,KDM5A,
,,,TBC1D5,
,,,SUPT20H,
,,,TRIO,
,,,VPS26A,
,,,VPS13C,
,,,CNOT1,
,,,CAVIN2,
,,,RPAP3,
,,,GOSR1,
,,,UFL1,
,,,AHNAK,
,,,EXOC5,
,,,MED4,
,,,PREPL,
,,,DERL2,
,,,SOCS2,
,,,ZCRB1,
,,,ATG14,
,,,TRPT1,
,,,MAOA,
,,,ACAA2,
,,,RAB9B,
,,,ZNHIT3,
,,,AZIN1,
,,,INSR,
,,,C15orf61,
,,,TXNDC9,
,,,HBS1L,
,,,TTC3,
,,,SETX,
,,,SEC11C,
,,,FILIP1L,
,,,FZD3,
,,,FHL1,
,,,SLTM,
,,,POLI,
,,,SELENOK,
,,,IFT74,
,,,MORC3,
,,,FNDC3A,
,,,GID8,
,,,CNOT4,
,,,UTP11,
,,,MLH1,
,,,GNS,
,,,VPS37A,
,,,ACADL,
,,,TMEM14B,
,,,GPX8,
,,,NBEAL1,
,,,CFAP97,
,,,RBM25,
,,,GFPT1,
,,,RARS,
,,,EML4,
,,,PIK3C2A,
,,,RAD21,
,,,ACAP2,
,,,IDH3G,
,,,KIAA1143,
,,,RFC1,
,,,SYAP1,
,,,FAM204A,
,,,SRFBP1,
,,,RBBP7,
,,,U2SURP,
,,,CDC42BPA,
,,,EXOSC9,
,,,MLLT10,
,,,45904,
,,,ANXA7,
,,,HSPA5,
,,,LTBP1,
,,,SPIDR,
,,,DYNLL2,
,,,COPA,
,,,PTPN11,
,,,COPB2,
,,,BPTF,
,,,FGFR1OP2,
,,,SLC30A9,
,,,ZNF638,
,,,NDUFB5,
,,,S100A16,
,,,SPAG16,
,,,KIAA1109,
,,,MTF2,
,,,TPM3,
,,,CDC37L1,
,,,KLHL42,
,,,ARL1,
,,,THUMPD1,
,,,EMP3,
,,,DDX50,
,,,ATP6V1F,
,,,DDB1,
,,,HSPA4,
,,,ASS1,
,,,PSMD14,
,,,ARFGAP3,
,,,NBN,
,,,DDX17,
,,,IMMT,
,,,WRB,
,,,CIAPIN1,
,,,GTF2H5,
,,,JMJD1C,
,,,CNN2,
,,,PEX1,
,,,GALM,
,,,PARP1,
,,,APOBEC3C,
,,,SMCHD1,
,,,PRPF6,
,,,BLOC1S6,
,,,BUD23,
,,,EPHX1,
,,,EIF2A,
,,,CTSC,
,,,NOLC1,
,,,GNL2,
,,,P4HA1,
,,,PTGDS,
,,,PSMD1,
,,,SCOC,
,,,RAB21,
,,,CHD6,
,,,REXO2,
,,,MAPK1IP1L,
,,,VCAM1,
,,,CDC123,
,,,IFITM3,
,,,HSP90AA1,
,,,PLXDC2,
,,,CHD9,
,,,FCHO2,
,,,TM9SF2,
,,,FRS2,
,,,HSP90AB1,
,,,SMU1,
,,,RBBP6,
,,,SGCB,
,,,RAB7A,
,,,TIMP2,
,,,PRELP,
,,,HMGN1,
,,,RAB3GAP1,
,,,DNAJB6,
,,,UACA,
,,,OXR1,
,,,DGCR6L,
,,,ATE1,
,,,PRKACA,
,,,RBMS3,
,,,45911,
,,,NAP1L4,
,,,CENPC,
,,,ATP2B1,
,,,ERLEC1,
,,,IPO7,
,,,HIPK3,
,,,ESF1,
,,,BNIP2,
,,,ITFG1,
,,,LIN7C,
,,,PCYOX1,
,,,CTNNB1,
,,,CEBPZ,
,,,ADH5,
,,,WLS,
,,,SSR1,
,,,EIF5,
,,,TMEM30A,
,,,THRAP3,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
