ST-OA,ST-AZFc,ST-INOA_B,ST-KS,ST-INOA_S
HSPA8,PAPPA,EMC7,LRRC59,DAAM1
SLC25A6,CCDC28B,BUD23,ADIRF,RCAN3
SMIM10,ITGB5,IFT57,FAM53C,APOA1
PTPRG,IDI1,PDE4D,FATE1,CCDC47
NPTX2,METTL7A,ERH,LBHD2,FEZ1
ACKR3,U2AF2,SAT1,MUM1L1,HIST1H1E
SLC16A3,TECR,NDRG3,PKM,CPPED1
SERPINI1,SPACA3,C10orf53,MED31,GADD45G
CDO1,DNAJC5B,EIF5,ADORA1,PABPC1
MMP28,PIGF,SLC44A2,CITED4,TMEM219
RAD21,DIAPH2,TMEM99,NAT8L,EIF3H
SLC25A5,CLIC4,DDX4,MT-RNR1,PDE3B
SLC4A5,ATP5F1A,PIGP,CISD3,HIST1H1C
KXD1,TXNL4B,TEX26,COQ6,CD83
SLIRP,STMP1,FIBP,SMARCB1,TUBA1A
INHA,SRP14,MED21,SLC2A8,RAC1
LRP8,SPSB3,HIST1H1A,GNA11,PRKAR2B
HSPB1,CITED2,CETN1,ACOT8,RHOBTB3
HOPX,VCAN,H2AFJ,NME4,ITPR3
GJA1,FAM71E1,AP1S1,TMEM123,QSOX1
PLAC9P1,GNB5,ACTRT3,TRPT1,DDX5
FKBP3,NIPA2,SCCPDH,UQCRH,ANO6
ATP8B2,BRF2,YIPF3,TRAF4,SNX6
ECHS1,MT-TC,HIST1H1E,PPP1R15A,EIF4G3
PRND,C12orf54,CUTA,SPARC,CUL4B
HSBP1,TRIM8,A2M,GPSM1,SNRPB
SOX4,PTPN13,CTNNA2,C7orf49,FGD5-AS1
WLS,SELENOS,S100A10,CD63,SPACA9
ECI2,CUL3,PTTG1,ILVBL,LGALS1
CD300LG,PREPL,DRG1,UGT3A2,APH1B
VDAC3,OBSL1,NDUFS2,C22orf23,NSA2
CXCL2,RBM3,COPZ1,ECI2,MT-RNR2
CHODL,ATP5F1E,FLVCR2,ADAM17,CENPU
UCHL3,TRAP1,QSOX1,NDUFB4,PGLYRP2
UQCRB,S100A11,TUBB,TXNL4A,FBL
MGLL,HPRT1,MAFB,AC109326.1,C11orf58
ODC1,WDR73,GLUL,NACA,HSPA5
ADI1,UBA52,CITED1,SHCBP1L,NR4A1
ZNHIT3,MCFD2,TSPYL2,CAVIN3,GAS5
SEC31A,JUND,HSPB8,IFI27L1,PTTG1
CEPT1,EMC4,MYDGF,TMEM52,MT-ND3
DDX24,PRPSAP1,GBP2,KXD1,DNALI1
ELP5,DKK3,VSIR,FIS1,C21orf91
PSENEN,NPTX2,SLC30A3,PHB2,ARPC2
GTF2A2,AAMDC,SGCB,GPX1,GNG12
TXNL4B,DEXI,SARAF,BMP2K,AKAP9
PCBP2,PLEKHH2,COPB1,ASS1,LEMD1
AKR1B1,SNAP23,TUBG1,UBXN6,APMAP
REXO5,SULF2,OSTC,PHLDA1,AARD
IFI27L2,PET100,SWI5,ALKBH7,PFDN5
TMED4,ZNF593,POMP,FAM102A,LDHA
TRIM8,SLC25A3,ARL2,SMARCA1,CHL1
MT-TR,GNA11,HBEGF,METTL3,PBX3
HIGD1A,AIMP2,MT-TM,METRNL,BOD1L1
TMED7,TBX18-AS1,TPP1,SHARPIN,SRSF11
TEX30,POLE3,TGIF1,AHSA2P,RAP1A
PCDH17,LDHA,HADHB,ANKRD7,IDH1
JPT1,MEA1,KIAA1210,LAGE3,TMED9
RABGGTB,CERS6,GABARAPL2,PAPPA,CXCL1
SDK2,MSI2,CTGF,NUPR2,SLC25A36
SNAP23,FAM84A,PTMA,LINC01191,MORN2
AMFR,MBNL3,FAM229A,C12orf57,MT-TF
KIF9,MT-ND5,DEGS1,PDK2,PTPN13
NDUFC1,TEX38,TUBA3C,HIST3H2A,SLC25A4
TRIM55,ACAA1,GNB2,SUPT5H,KLF10
DDAH1,TTN,OTUB1,H2AFY,IL7R
SCD,GNPNAT1,SCRG1,BAMBI,ZNF844
IGSF1,DNAJC14,SLC52A3,ZMYND10,ATP5MC3
